P,PdVPr,x,x1,x2,x3,y,y1,y2,y3
AVS,MDR(0) v LDR(1),1763,581,556,625,-2453,-247,-183,-2024
EVA,MDR(1/3) v LDR(0),5961,1987,1987,1987,-5866,-2292,-1957,-1618
EVE,MDR(1/3) v LDR(1/3),6852,2284,2284,2284,-4800,-1600,-1600,-1600
EVS,MDR(1/3) v LDR(1),3470,1156,1156,1156,-2959,-248,-252,-2460
SVA,MDR(1) v LDR(0),13593,6661,5808,1122,-8014,-2564,-2870,-2581
SVE,MDR(1) v LDR(1/3),12660,7237,4427,995,-6658,-2220,-2220,-2220
SVS,MDR(1) v LDR(1),6177,3818,1513,844,-3602,-506,-483,-2615
AVA,MLR(0) v MDD(0),2772,911,889,971,-2090,-652,-716,-723
AVE,MLR(0) v MDD(1/3),1994,670,687,636,-862,-288,-288,-288
AVS,MLR(0) v MDD(1),1209,425,363,420,-527,-190,-174,-165
EVA,MLR(1/3) v MDD(0),7494,2498,2498,2498,-3701,-837,-1411,-1454
EVE,MLR(1/3) v MDD(1/3),4604,1534,1534,1534,-1964,-655,-655,-655
EVS,MLR(1/3) v MDD(1),1674,558,558,558,-793,-314,-290,-190
SVA,MLR(1) v MDD(0),14720,6563,6979,1176,-6349,-1264,-2414,-2672
SVE,MLR(1) v MDD(1/3),8615,3965,3733,916,-3395,-1132,-1132,-1132
SVS,MLR(1) v MDD(1),2898,1222,1153,522,-1258,-249,-662,-348
AVA,LLR(0) v MML(0),2541,848,845,846,-2039,-683,-682,-675
AVE,LLR(0) v MML(1/3),2357,776,817,763,-975,-325,-325,-325
AVS,LLR(0) v MML(1),1366,435,448,482,-576,-193,-185,-199
EVA,LLR(1/3) v MML(0),5992,1997,1997,1997,-3851,-1469,-1492,-891
EVE,LLR(1/3) v MML(1/3),4268,1422,1422,1422,-1827,-609,-609,-609
EVS,LLR(1/3) v MML(1),1638,546,546,546,-768,-310,-238,-221
SVA,LLR(1) v MML(0),11977,5902,4912,1163,-5825,-2318,-1739,-1769
SVE,LLR(1) v MML(1/3),6608,2806,2768,1033,-2622,-874,-874,-874
SVS,LLR(1) v MML(1),3169,1194,1393,581,-1344,-348,-575,-422
AVA,MDR(0) v DLL(0),2641,890,841,909,-1989,-724,-611,-655
AVE,MDR(0) v DLL(1/3),2413,798,791,823,-1005,-335,-335,-335
AVS,MDR(0) v DLL(1),1300,433,424,441,-531,-171,-194,-167
EVA,MDR(1/3) v DLL(0),5901,1967,1967,1967,-3486,-1420,-1191,-875
EVE,MDR(1/3) v DLL(1/3),3751,1250,1250,1250,-1646,-549,-549,-549
EVS,MDR(1/3) v DLL(1),1810,603,603,603,-815,-191,-326,-299
SVA,MDR(1) v DLL(0),13202,5342,6688,1171,-6351,-2716,-2319,-1317
SVE,MDR(1) v DLL(1/3),6707,2743,3032,932,-2649,-883,-883,-883
SVS,MDR(1) v DLL(1),3061,1211,1142,707,-1276,-189,-380,-708
AVA,DLR(0) v MDL(0),2555,807,884,863,-1940,-604,-718,-618
AVE,DLR(0) v MDL(1/3),2187,702,757,728,-922,-308,-308,-308
AVS,DLR(0) v MDL(1),1468,473,487,508,-604,-212,-177,-217
EVA,DLR(1/3) v MDL(0),6719,2239,2239,2239,-3683,-1186,-1490,-1008
EVE,DLR(1/3) v MDL(1/3),4270,1423,1423,1423,-1856,-619,-619,-619
EVS,DLR(1/3) v MDL(1),1797,599,599,599,-828,-244,-226,-359
SVA,DLR(1) v MDL(0),10737,5100,4561,1075,-5144,-2038,-1656,-1451
SVE,DLR(1) v MDL(1/3),6511,2350,3196,964,-2609,-870,-870,-870
SVS,DLR(1) v MDL(1),3033,1020,1348,663,-1223,-198,-403,-622
