PdVPr,x,x1,x2,y,y1,y2
DL(0) v DD(1),240,125,114,-190,-98,-92
DL(0.1) v DD(0),1480,717,762,-1804,-850,-955
DL(0.1) v DD(0.1),1347,672,675,-1204,-589,-615
DL(0.1) v DD(0.3),1272,609,662,-938,-462,-476
DL(0.1) v DD(0.5),421,200,220,-312,-156,-156
DL(0.1) v DD(0.7),235,112,122,-182,-90,-93
DL(0.1) v DD(0.9),224,105,118,-176,-85,-92
DL(0.1) v DD(1),237,117,119,-193,-100,-94
DL(0.3) v DD(0),2404,1137,1266,-2126,-851,-1276
DL(0.3) v DD(0.1),1419,722,697,-1221,-562,-659
DL(0.3) v DD(0.3),183,97,85,-168,-80,-88
DL(0.3) v DD(0.5),561,269,292,-400,-200,-200
DL(0.3) v DD(0.7),352,184,168,-269,-140,-130
DL(0.3) v DD(0.9),235,119,115,-198,-107,-91
DL(0.3) v DD(1),233,113,120,-184,-100,-84
DL(0.5) v DD(0),4946,2473,2473,-3868,-2036,-1833
DL(0.5) v DD(0.1),5743,2871,2871,-3689,-1873,-1817
DL(0.5) v DD(0.3),3488,1744,1744,-2238,-1027,-1211
DL(0.5) v DD(0.5),1583,791,791,-1125,-563,-563
DL(0.5) v DD(0.7),1174,587,587,-755,-351,-405
DL(0.5) v DD(0.9),1077,538,538,-732,-463,-270
DL(0.5) v DD(1),831,415,415,-622,-517,-106
DL(0.7) v DD(0),5687,2845,2841,-4614,-2289,-2326
DL(0.7) v DD(0.1),7255,3692,3562,-4801,-1977,-2825
DL(0.7) v DD(0.3),5151,2930,2221,-3225,-1494,-1731
DL(0.7) v DD(0.5),2245,1115,1130,-1487,-744,-744
DL(0.7) v DD(0.7),1385,662,723,-916,-458,-458
DL(0.7) v DD(0.9),1225,584,640,-823,-536,-287
DL(0.7) v DD(1),1378,668,709,-907,-453,-454
DL(0.9) v DD(0),8350,4010,4339,-6015,-2733,-3283
DL(0.9) v DD(0.1),7813,4281,3531,-5028,-2906,-2123
DL(0.9) v DD(0.3),5669,2216,3453,-3563,-1993,-1571
DL(0.9) v DD(0.3),2842,1546,1296,-1739,-870,-870
DL(0.9) v DD(0.7),1546,710,836,-1035,-507,-528
DL(0.9) v DD(0.9),1295,629,665,-894,-413,-482
DL(0.9) v DD(1),1128,551,576,-792,-188,-604
DL(1) v DD(0),8619,4329,4289,-5915,-2676,-3240
DL(1) v DD(0.1),8976,3916,5060,-5569,-3067,-2503
DL(1) v DD(0.3),7503,3337,4166,-4258,-2157,-2101
DL(1) v DD(0.5),2519,1183,1335,-1598,-799,-799
DL(1) v DD(0.7),1666,793,873,-1092,-557,-536
DL(1) v DD(0.9),1408,680,727,-915,-455,-461
DL(1) v DD(1),1438,641,797,-973,-510,-463
ML(0) v MM(0),914,458,456,-1470,-781,-689
ML(0) v MM(0.1),979,470,509,-1069,-560,-510
ML(0) v MM(0.3),909,471,437,-713,-365,-348
ML(0) v MM(0.5),370,196,173,-273,-137,-137
ML(0) v MM(0.7),223,96,127,-205,-108,-98
ML(0) v MM(0.9),177,83,93,-154,-78,-76
ML(0) v MM(1),182,92,89,-156,-83,-73
ML(0.1) v MM(0),887,448,438,-1794,-895,-899
ML(0.1) v MM(0.1),968,476,492,-1152,-601,-551
ML(0.1) v MM(0.3),908,442,465,-725,-356,-370
ML(0.1) v MM(0.5),303,151,151,-243,-122,-122
ML(0.1) v MM(0.7),193,93,99,-169,-84,-85
ML(0.1) v MM(0.9),173,80,93,-144,-69,-76
ML(0.1) v MM(1),178,88,90,-159,-80,-80
ML(0.3) v MM(0),1231,660,570,-1636,-825,-812
ML(0.3) v MM(0.1),1747,1012,734,-1568,-943,-625
ML(0.3) v MM(0.3),1052,528,524,-811,-399,-413
ML(0.3) v MM(0.5),505,254,251,-384,-192,-192
ML(0.3) v MM(0.7),234,115,119,-195,-96,-100
ML(0.3) v MM(0.9),206,104,101,-176,-78,-99
ML(0.3) v MM(1),198,101,96,-167,-90,-77
ML(0.5) v MM(0),4120,2060,2060,-3600,-920,-2681
ML(0.5) v MM(0.1),5380,2690,2690,-3749,-1865,-1884
ML(0.5) v MM(0.3),3288,1644,1644,-2073,-1061,-1013
ML(0.5) v MM(0.5),1677,838,838,-1139,-570,-570
ML(0.5) v MM(0.7),692,346,346,-469,-208,-262
ML(0.5) v MM(0.9),818,409,409,-579,-223,-356
ML(0.5) v MM(1),499,249,249,-412,-249,-164
ML(0.7) v MM(0),6805,3433,3372,-4771,-3636,-1135
ML(0.7) v MM(0.1),7324,3802,3521,-4984,-2392,-2592
ML(0.7) v MM(0.3),8058,3955,4102,-4560,-2314,-2247
ML(0.7) v MM(0.5),1962,987,975,-1308,-654,-654
ML(0.7) v MM(0.7),1061,531,529,-740,-423,-318
ML(0.7) v MM(0.9),1059,524,535,-751,-367,-384
ML(0.7) v MM(1),1212,625,586,-825,-352,-474
ML(0.9) v MM(0),8245,4450,3795,-5842,-2120,-3722
