PdVPr,x,x1,x2,y,y1,y2
MD(0) v MD(0.7),199,91,107,-162,-83,-80
MD(0) v MD(0.9),196,99,96,-167,-78,-90
MD(0) v MD(1),206,101,105,-180,-87,-94
MD(0.1) v MD(0),669,327,341,-1079,-499,-581
MD(0.1) v MD(0.1),660,340,320,-665,-331,-335
MD(0.1) v MD(0.3),683,331,352,-476,-245,-232
MD(0.1) v MD(0.5),382,185,196,-256,-128,-128
MD(0.1) v MD(0.7),195,103,92,-152,-76,-77
MD(0.1) v MD(0.9),190,95,95,-157,-81,-77
MD(0.1) v MD(1),172,85,86,-155,-78,-78
MD(0.3) v MD(0),2328,1371,956,-1700,-512,-1189
MD(0.3) v MD(0.1),737,371,366,-798,-412,-387
MD(0.3) v MD(0.3),1098,592,506,-762,-364,-399
MD(0.3) v MD(0.5),457,219,237,-353,-177,-177
MD(0.3) v MD(0.7),187,93,94,-162,-78,-85
MD(0.3) v MD(0.9),228,111,116,-196,-99,-97
MD(0.3) v MD(1),248,122,126,-203,-87,-116
MD(0.5) v MD(0),4252,2126,2126,-3390,-708,-2683
MD(0.5) v MD(0.1),618,309,309,-679,-353,-326
MD(0.5) v MD(0.3),3258,1629,1629,-2274,-1146,-1129
MD(0.5) v MD(0.5),1458,729,729,-1023,-512,-512
MD(0.5) v MD(0.7),1015,507,507,-705,-272,-433
MD(0.5) v MD(0.9),975,487,487,-661,-209,-453
MD(0.5) v MD(1),758,379,379,-580,-155,-426
MD(0.7) v MD(0),645,322,323,-1131,-535,-596
MD(0.7) v MD(0.1),665,337,328,-719,-343,-377
MD(0.7) v MD(0.3),642,319,322,-450,-223,-227
MD(0.7) v MD(0.5),421,221,199,-267,-134,-134
MD(0.7) v MD(0.7),216,107,108,-161,-82,-80
MD(0.7) v MD(0.9),186,88,98,-162,-90,-73
MD(0.7) v MD(1),177,91,86,-147,-71,-76
MD(0.9) v MD(0),4812,2577,2234,-3913,-1630,-2284
MD(0.9) v MD(0.1),639,330,309,-723,-354,-370
MD(0.9) v MD(0.3),4208,1686,2522,-2675,-1275,-1400
MD(0.9) v MD(0.5),2153,1040,1112,-1429,-715,-715
MD(0.9) v MD(0.7),1363,712,650,-899,-422,-478
MD(0.9) v MD(0.9),1160,630,530,-807,-291,-516
MD(0.9) v MD(1),1172,614,558,-836,-302,-534
MD(1) v MD(0),5812,3220,2591,-4658,-1470,-3189
MD(1) v MD(0.1),637,308,328,-766,-388,-378
MD(1) v MD(0.3),5470,3216,2253,-3350,-1657,-1694
MD(1) v MD(0.5),1917,968,948,-1261,-631,-631
MD(1) v MD(0.7),209,108,101,-169,-83,-86
MD(1) v MD(0.9),1206,672,534,-839,-337,-503
MD(1) v MD(1),1179,614,565,-824,-349,-476
DR(0) v DD(0),877,424,453,-1601,-824,-777
DR(0) v DD(0.1),813,369,444,-891,-457,-434
DR(0) v DD(0.3),752,357,394,-596,-298,-299
DR(0) v DD(0.5),329,151,178,-251,-126,-126
DR(0) v DD(0.7),189,85,103,-161,-79,-82
DR(0) v DD(0.9),178,80,98,-166,-87,-79
DR(0) v DD(1),197,92,104,-184,-84,-100
DR(0.1) v DD(0),835,393,442,-1589,-730,-860
DR(0.1) v DD(0.1),820,366,453,-976,-513,-463
DR(0.1) v DD(0.3),761,328,433,-603,-299,-304
DR(0.1) v DD(0.5),309,141,167,-249,-125,-125
DR(0.1) v DD(0.7),216,98,118,-169,-85,-84
DR(0.1) v DD(0.9),205,101,103,-166,-80,-86
DR(0.1) v DD(1),194,86,108,-158,-84,-75
DR(0.3) v DD(0),1199,529,670,-1603,-778,-826
DR(0.3) v DD(0.1),1539,618,920,-1377,-590,-788
DR(0.3) v DD(0.3),1022,457,564,-785,-370,-415
DR(0.3) v DD(0.5),441,216,224,-352,-176,-176
DR(0.3) v DD(0.7),232,115,117,-205,-107,-99
DR(0.3) v DD(0.9),235,107,127,-193,-96,-97
DR(0.3) v DD(1),208,96,112,-162,-69,-94
DR(0.5) v DD(0),4533,2266,2266,-4820,-1712,-3108
DR(0.5) v DD(0.1),4213,2106,2106,-2704,-1971,-733
DR(0.5) v DD(0.3),3877,1938,1938,-2283,-1122,-1162
DR(0.5) v DD(0.5),909,454,454,-650,-325,-325
DR(0.5) v DD(0.7),733,366,366,-485,-246,-239
DR(0.5) v DD(0.9),481,240,240,-337,-162,-176
DR(0.5) v DD(1),503,251,251,-396,-197,-199
DR(0.7) v DD(0),4227,2743,1483,-3067,-1634,-1433
DR(0.7) v DD(0.1),3437,2213,1223,-2650,-837,-1813
DR(0.7) v DD(0.3),1441,871,569,-1057,-595,-463
DR(0.7) v DD(0.5),929,528,400,-650,-325,-325
DR(0.7) v DD(0.7),749,449,299,-524,-250,-275
DR(0.7) v DD(0.9),568,336,232,-399,-201,-198
DR(0.7) v DD(1),594,349,244,-408,-208,-200
DR(0.9) v DD(0),3397,2659,738,-4348,-1784,-2564
DR(0.9) v DD(0.1),3717,2966,750,-3037,-860,-2177
DR(0.9) v DD(0.3),3627,2855,771,-2268,-1148,-1121
DR(0.9) v DD(0.5),1181,722,459,-805,-403,-403
DR(0.9) v DD(0.1),616,413,203,-438,-264,-175
DR(0.9) v DD(0.9),637,434,202,-440,-232,-209
DR(0.9) v DD(1),559,387,171,-396,-225,-171
DR(1) v DD(0),4769,4245,523,-3749,-1931,-1819
DR(1) v DD(0.1),4137,3635,501,-2766,-840,-1927
DR(1) v DD(0.3),2363,1860,502,-1518,-702,-816
DR(1) v DD(0.5),1069,747,322,-717,-359,-359
DR(1) v DD(0.7),724,558,166,-507,-247,-261
DR(1) v DD(0.9),599,462,136,-420,-198,-223
DR(1) v DD(1),633,479,153,-450,-214,-237
RL(0) v RR(0),596,305,290,-4838,-2292,-2546
RL(0) v RR(0.1),284,306,-4858,-2469,-2389,
RL(0) v RR(0.3),546,267,279,-5656,-2777,-2879
RL(0) v RR(0.5),567,277,289,-4258,-2129,-2129
RL(0) v RR(0.7),586,298,288,-4624,-2320,-2305
RL(0) v RR(0.9),569,274,295,-5204,-2799,-2405
RL(0) v RR(1),596,311,284,-4639,-2114,-2526
RL(0.1) v RR(0),570,280,289,-4923,-2716,-2207
RL(0.1) v RR(0.1),563,287,275,-5833,-2852,-2982
RL(0.1) v RR(0.3),579,291,288,-5452,-2763,-2689
RL(0.1) v RR(0.5),632,307,324,-4409,-2205,-2205
RL(0.1) v RR(0.7),571,285,286,-5054,-2538,-2516
RL(0.1) v RR(0.9),540,258,281,-4329,-2299,-2031
RL(0.1) v RR(1),588,298,289,-5308,-2580,-2729
RL(0.3) v RR(0),672,353,318,-4181,-1887,-2295
RL(0.3) v RR(0.1),675,359,316,-5921,-3040,-2882
RL(0.3) v RR(0.3),684,349,334,-3942,-1906,-2036
RL(0.3) v RR(0.5),770,421,348,-5372,-2686,-2686
RL(0.3) v RR(0.7),584,299,285,-5124,-2578,-2547
RL(0.3) v RR(0.9),762,390,372,-3388,-1871,-1518
RL(0.3) v RR(1),646,330,316,-5123,-2245,-2878
RL(0.5) v RR(0),2454,1227,1227,-5810,-2568,-3243
RL(0.5) v RR(0.1),2068,1034,1034,-6389,-2714,-3676
RL(0.5) v RR(0.3),2213,1106,1106,-5924,-2925,-3000
RL(0.5) v RR(0.5),2510,1255,1255,-6526,-3263,-3263
RL(0.5) v RR(0.7),1726,863,863,-6050,-2950,-3101
RL(0.5) v RR(0.9),3787,1893,1893,-5657,-2502,-3156
RL(0.5) v RR(1),2447,1223,1223,-5453,-2101,-3352
RL(0.7) v RR(0),3530,1226,2304,-7288,-4081,-3208
RL(0.7) v RR(0.1),2633,936,1697,-7003,-2861,-4142
RL(0.7) v RR(0.3),3446,1186,2260,-7122,-3554,-3568
RL(0.7) v RR(0.5),4237,1445,2791,-7129,-3565,-3565
RL(0.7) v RR(0.7),6045,2023,4021,-6308,-3302,-3007
RL(0.7) v RR(0.9),4416,1506,2909,-5744,-3713,-2032
RL(0.7) v RR(1),3136,1101,2034,-5740,-1672,-4069
RL(0.9) v RR(0),3536,681,2854,-6883,-4204,-2680
RL(0.9) v RR(0.1),4627,864,3763,-6292,-3534,-2758
RL(0.9) v RR(0.3),4539,815,3724,-6606,-3324,-3282
RL(0.9) v RR(0.5),4807,860,3947,-5524,-2762,-2762
RL(0.9) v RR(0.7),3954,736,3217,-6628,-2899,-3730
RL(0.9) v RR(0.9),5515,1013,4502,-7691,-3862,-3829
RL(0.9) v RR(1),5209,927,4282,-6828,-4023,-2806
RL(1) v RR(0),4891,579,4312,-6701,-3681,-3021
RL(1) v RR(0.1),3388,394,2994,-7340,-3471,-3869
RL(1) v RR(0.3),4890,447,4442,-7207,-3707,-3500
RL(1) v RR(0.5),6309,550,5759,-7320,-3660,-3660
RL(1) v RR(0.7),3581,381,3200,-7283,-3444,-3840
RL(1) v RR(0.9),4443,499,3943,-5967,-3812,-2155
RL(1) v RR(1),5059,495,4564,-7450,-3867,-3583
ML(0) v LR(0),591,292,299,-6202,-2654,-3548
ML(0) v LR(0.1),1032,517,515,-3190,-2012,-1178
ML(0) v LR(0.3),894,451,443,-3377,-2080,-1297
ML(0) v LR(0.5),1241,629,612,-2899,-1450,-1450
ML(0) v LR(0.7),1033,544,489,-3251,-1170,-2081
ML(0) v LR(0.9),458,236,221,-1643,-244,-1400
ML(0) v LR(1),499,229,269,-2684,-102,-2582
ML(0.1) v LR(0),679,325,353,-5198,-2815,-2384
ML(0.1) v LR(0.1),911,434,477,-2985,-1859,-1127
ML(0.1) v LR(0.3),1157,571,585,-2262,-1319,-943
ML(0.1) v LR(0.5),1139,535,603,-2481,-1241,-1241
ML(0.1) v LR(0.7),710,410,299,-2786,-950,-1836
ML(0.1) v LR(0.9),471,248,223,-2816,-367,-2450
ML(0.1) v LR(1),569,300,269,-1668,-86,-1583
ML(0.3) v LR(0),658,313,345,-6961,-2669,-4293
ML(0.3) v LR(0.1),1520,816,704,-3187,-1871,-1316
ML(0.3) v LR(0.3),2125,882,1243,-3163,-1780,-1383
ML(0.3) v LR(0.5),1389,593,795,-3353,-1677,-1677
ML(0.3) v LR(0.7),1246,570,675,-2428,-870,-1559
ML(0.3) v LR(0.9),1044,613,431,-2188,-300,-1888
ML(0.3) v LR(1),1616,632,983,-2263,-91,-2173
ML(0.5) v LR(0),4231,2115,2115,-5573,-2009,-3564
ML(0.5) v LR(0.1),7165,3582,3582,-6349,-3742,-2607
ML(0.5) v LR(0.3),5088,2544,2544,-4717,-2250,-2468
ML(0.5) v LR(0.5),3372,1686,1686,-4102,-2051,-2051
ML(0.5) v LR(0.7),4230,2115,2115,-4277,-1426,-2852
ML(0.5) v LR(0.9),4655,2327,2327,-4568,-541,-4027
ML(0.5) v LR(1),3167,1583,1583,-4356,-117,-4240
ML(0.7) v LR(0),7865,3933,3931,-7116,-5382,-1735
ML(0.7) v LR(0.1),7202,3712,3490,-7322,-3683,-3639
ML(0.7) v LR(0.3),6703,3435,3268,-6696,-3374,-3322
ML(0.7) v LR(0.5),4457,2282,2174,-5445,-2723,-2723
ML(0.7) v LR(0.7),3620,1508,2112,-5136,-1739,-3398
ML(0.7) v LR(0.9),6783,3324,3459,-5660,-736,-4924
ML(0.7) v LR(1),5176,2671,2505,-4695,-348,-4347
ML(0.9) v LR(0),8611,4505,4106,-7724,-4462,-3263
ML(0.9) v LR(0.1),5812,2971,2841,-7378,-3207,-4171
ML(0.9) v LR(0.3),7016,3777,3238,-6779,-3485,-3294
ML(0.9) v LR(0.5),8924,4283,4640,-6301,-3151,-3151
ML(0.9) v LR(0.7),7006,3292,3714,-5985,-1985,-4001
ML(0.9) v LR(0.9),5808,2860,2947,-4702,-792,-3911
ML(0.9) v LR(1),4604,1988,2616,-4997,-349,-4649
ML(1) v LR(0),6136,2725,3411,-7241,-3134,-4107
ML(1) v LR(0.1),7354,3584,3769,-8059,-3968,-4092
ML(1) v LR(0.3),8223,3516,4706,-6866,-3476,-3390
ML(1) v LR(0.5),7354,3482,3871,-6526,-3263,-3263
ML(1) v LR(0.7),6698,3334,3363,-5868,-1951,-3918
ML(1) v LR(0.9),6344,3313,3030,-5699,-841,-4858
ML(1) v LR(1),7080,3514,3566,-6005,-255,-5751
LR(0) v DR(0),557,278,279,-6669,-2607,-4062
LR(0) v DR(0.1),622,305,317,-4183,-2671,-1513
LR(0) v DR(0.3),672,326,346,-2808,-1760,-1049
LR(0) v DR(0.5),667,333,333,-2521,-1261,-1261
LR(0) v DR(0.7),594,310,283,-3422,-1142,-2280
LR(0) v DR(0.9),419,221,197,-1712,-254,-1458
LR(0) v DR(1),393,194,198,-2510,-89,-2421
LR(0.1) v DR(0),638,315,322,-4039,-2158,-1881
LR(0.1) v DR(0.1),653,325,328,-3934,-2506,-1428
LR(0.1) v DR(0.3),711,312,399,-2443,-1500,-943
LR(0.1) v DR(0.5),727,332,395,-2551,-1276,-1276
LR(0.1) v DR(0.7),609,303,305,-2472,-853,-1619
LR(0.1) v DR(0.9),435,209,226,-2049,-307,-1742
LR(0.1) v DR(1),398,194,203,-2886,-80,-2806
LR(0.3) v DR(0),734,347,387,-5120,-2410,-2711
LR(0.3) v DR(0.1),812,376,436,-3402,-2229,-1173
LR(0.3) v DR(0.3),871,392,479,-2993,-1786,-1207
LR(0.3) v DR(0.5),780,375,405,-2857,-1429,-1429
LR(0.3) v DR(0.7),1578,611,966,-3203,-1274,-1930
LR(0.3) v DR(0.9),718,304,413,-2352,-346,-2007
LR(0.3) v DR(1),378,183,195,-2495,-87,-2409
LR(0.5) v DR(0),3217,1608,1608,-6440,-3985,-2456
LR(0.5) v DR(0.1),4034,2017,2017,-5323,-2512,-2812
LR(0.5) v DR(0.3),5302,2651,2651,-5261,-2582,-2680
LR(0.5) v DR(0.5),2615,1307,1307,-3545,-1773,-1773
LR(0.5) v DR(0.7),1947,973,973,-4374,-1719,-2655
LR(0.5) v DR(0.9),3330,1665,1665,-2976,-473,-2504
LR(0.5) v DR(1),2342,1171,1171,-3236,-151,-3086
LR(0.7) v DR(0),4480,2926,1554,-5902,-4015,-1887
LR(0.7) v DR(0.1),3752,2461,1291,-5978,-3059,-2920
LR(0.7) v DR(0.3),4199,2738,1461,-4313,-2107,-2207
LR(0.7) v DR(0.5),4965,3258,1707,-4453,-2227,-2227
LR(0.7) v DR(0.7),1357,817,540,-3365,-1306,-2060
LR(0.7) v DR(0.9),2991,1960,1030,-3967,-587,-3380
LR(0.7) v DR(10),3314,2180,1134,-4012,-144,-3869
LR(0.9) v DR(0),3908,3165,743,-7033,-4288,-2746
LR(0.9) v DR(0.1),5481,4556,925,-6300,-3596,-2705
LR(0.9) v DR(0.3),3018,2328,690,-4031,-1954,-2077
LR(0.9) v DR(0.5),2297,1779,518,-4362,-2181,-2181
LR(0.9) v DR(0.7),4300,3440,860,-4265,-1467,-2798
LR(0.9) v DR(0.9),4316,3575,740,-4051,-550,-3501
LR(0.9) v DR(1),5085,4198,887,-4056,-196,-3860
LR(1) v DR(0),2478,2094,383,-6242,-2336,-3907
LR(1) v DR(0.1),4290,3857,432,-5942,-2755,-3188
LR(1) v DR(0.3),5433,4902,531,-5257,-3129,-2129
LR(1) v DR(0.5),2408,1985,422,-3220,-1610,-1610
LR(1) v DR(0.7),4130,3652,477,-4615,-1631,-2985
LR(1) v DR(0.9),3859,3412,446,-4121,-522,-3599
LR(1) v DR(1),4605,4222,382,-4169,-184,-3986
DR(0) v MR(0),580,273,307,-6014,-2757,-3258
DR(0) v MR(0.1),698,356,342,-3828,-2348,-1480
DR(0) v MR(0.3),669,325,343,-3422,-2080,-1342
DR(0) v MR(0.5),836,394,441,-2177,-1089,-1089
DR(0) v MR(0.7),690,321,369,-2410,-831,-1580
DR(0) v MR(0.9),440,197,242,-2017,-289,-1729
DR(0) v MR(1),358,174,184,-2979,-97,-2883
DR(0.1) v MR(0),620,292,328,-5618,-2618,-3000
DR(0.1) v MR(0.1),718,334,383,-3424,-2202,-1223
DR(0.1) v MR(0.3),815,372,442,-2329,-1448,-881
DR(0.1) v MR(0.5),787,354,433,-2317,-1159,-1159
DR(0.1) v MR(0.7),652,332,319,-2734,-915,-1819
DR(0.1) v MR(0.9),432,195,236,-2467,-314,-2153
DR(0.1) v MR(1),406,179,227,-2676,-89,-2588
DR(0.3) v MR(0),854,379,474,-5133,-2549,-2584
DR(0.3) v MR(0.1),757,341,415,-4177,-2482,-1696
DR(0.3) v MR(0.3),850,381,468,-3560,-2094,-1467
DR(0.3) v MR(0.5),1389,565,823,-2790,-1395,-1395
DR(0.3) v MR(0.7),954,409,545,-2997,-1039,-1958
DR(0.3) v MR(0.9),660,280,380,-3032,-415,-2618
DR(0.3) v MR(1),495,224,271,-2420,-99,-2322
DR(0.5) v MR(0),3947,1973,1973,-6502,-3737,-2765
DR(0.5) v MR(0.1),5298,2649,2649,-5420,-2904,-2517
DR(0.5) v MR(0.3),3959,1979,1979,-4844,-3124,-1720
DR(0.5) v MR(0.5),3123,1561,1561,-4502,-2251,-2251
DR(0.5) v MR(0.7),3572,1786,1786,-4170,-1426,-2745
DR(0.5) v MR(0.9),4093,2046,2046,-3647,-461,-3187
DR(0.5) v MR(1),3071,1535,1535,-3050,-133,-2918
DR(0.7) v MR(0),3966,2601,1364,-6392,-2882,-3511
DR(0.7) v MR(0.1),5323,3517,1805,-5969,-3054,-2916
DR(0.7) v MR(0.3),3613,2341,1272,-4274,-2168,-2106
DR(0.7) v MR(0.5),2123,1334,788,-3024,-1512,-1512
DR(0.7) v MR(0.7),1263,755,507,-2478,-922,-1557
DR(0.7) v MR(0.9),4920,3269,1651,-4356,-572,-3785
DR(0.7) v MR(1),3411,2231,1180,-3326,-169,-3157
DR(0.9) v MR(0),3826,3117,708,-6779,-4366,-2414
DR(0.9) v MR(0.1),4421,3606,814,-5171,-3736,-1436
DR(0.9) v MR(0.3),4579,3704,875,-4890,-2428,-2462
DR(0.9) v MR(0.5),2298,1722,576,-3980,-1990,-1990
DR(0.9) v MR(0.7),3678,2940,738,-4386,-1445,-2941
DR(0.9) v MR(0.9),777,502,274,-3329,-556,-2773
DR(0.9) v MR(1),3138,2565,573,-3632,-192,-3440
DR(1) v MR(0),4525,4025,499,-6723,-4112,-2612
DR(1) v MR(0.1),5907,5341,566,-5823,-3216,-2608
DR(1) v MR(0.3),5664,5143,521,-5031,-2591,-2440
DR(1) v MR(0.5),2536,2183,353,-4036,-2018,-2018
DR(1) v MR(0.1),4921,4422,499,-4012,-1366,-2647
DR(1) v MR(0.9),2434,2050,383,-3119,-497,-2623
DR(1) v MR(1),3899,3555,343,-4206,-153,-4054
ML(0)  v DL(0),981,512,468,-1629,-1148,-482
ML(0)  v DL(0.1),1047,535,511,-940,-560,-380
ML(0)  v DL(0.3),1056,507,549,-766,-400,-366
ML(0)  v DL(0.5),400,197,202,-287,-144,-144
ML(0)  v DL(0.7),218,108,110,-181,-94,-87
ML(0)  v DL(0.9),217,104,112,-184,-90,-95
ML(0)  v DL(1),219,107,111,-176,-88,-89
ML(0.1)  v DL(0),1101,575,526,-1441,-899,-542
ML(0.1)  v DL(0.1),1018,501,517,-936,-527,-410
ML(0.1)  v DL(0.3),1026,504,521,-766,-389,-378
ML(0.1)  v DL(0.5),355,175,179,-268,-134,-134
ML(0.1)  v DL(0.7),214,100,114,-191,-97,-94
ML(0.1)  v DL(0.9),188,96,92,-165,-90,-76
ML(0.1)  v DL(1),225,118,106,-192,-91,-102
ML(0.3) v DL(0),1427,662,764,-1571,-947,-625
ML(0.3)  v DL(0.1),1545,712,833,-1207,-592,-616
ML(0.3)  v DL(0.3),1117,528,588,-811,-424,-388
ML(0.3) v DL(0.5),573,273,299,-405,-203,-203
ML(0.3)  v DL(0.7),296,142,154,-236,-118,-119
ML(0.3)  v DL(0.9),186,92,93,-160,-91,-69
ML(0.3) v DL(1),215,107,107,-181,-94,-87
ML(0.5) v DL(0),4575,2287,2287,-3726,-1951,-1775
ML(0.5)  v DL(0.1),3084,1542,1542,-2463,-1015,-1448
ML(0.5)  v DL(0.3),3171,1585,1585,-2225,-1132,-1094
ML(0.5) v DL(0.5),1435,717,717,-976,-488,-488
ML(0.5)  v DL(0.9),892,446,446,-597,-137,-460
ML(0.5)  v DL(0.7),1073,536,536,-733,-396,-338
ML(0.5) v DL(1),792,396,396,-606,-485,-122
ML(0.7)  v DL(0),5796,2898,2898,-4443,-2696,-1747
ML(0.7)  v DL(0.1),5963,3169,2794,-4298,-2161,-2137
ML(0.7)  v DL(0.3),4596,1879,2716,-3043,-1466,-1577
ML(0.7)  v DL(0.5),1899,940,959,-1261,-631,-631
ML(0.7)  v DL(0.7),1304,660,644,-902,-487,-415
ML(0.7)  v DL(0.9),1279,642,637,-862,-537,-325
ML(0.7)  v DL(1),1181,581,600,-851,-534,-318
ML(0.9) v DL(0),8658,4243,4415,-5658,-3564,-2094
ML(0.9)  v DL(0.1),5197,2468,2728,-4061,-1436,-2626
ML(0.9)  v DL(0.3),7222,3553,3669,-4218,-2186,-2032
ML(0.9) v DL(0.5),1917,932,984,-1269,-635,-635
ML(0.9)  v DL(0.7),1297,655,641,-889,-471,-419
ML(0.9)  v DL(0.9),1216,638,577,-864,-509,-355
ML(0.9) v DL(1),1269,666,602,-886,-545,-342
ML(1) v DL(0),9002,4450,4551,-6126,-3961,-2165
ML(1)  v DL(0.1),7109,3730,3379,-4952,-2866,-2087
ML(1)  v DL(0.3),6178,3048,3129,-3777,-1959,-1818
ML(1) v DL(0.5),2006,1057,948,-1378,-689,-689
ML(1)  v DL(0.7),1346,609,736,-928,-528,-401
ML(1)  v DL(0.9),1280,684,596,-884,-545,-340
ML(1) v DL(1),1244,565,679,-873,-522,-351
MD(0) v RR(0),620,322,298,-4955,-2583,-2373
MD(0) v RR(0.1),624,315,308,-4391,-2245,-2147
MD(0) v RR(0.3),621,312,308,-4586,-2274,-2312
MD(0) v RR(0.5),615,338,276,-5315,-2658,-2658
MD(0) v RR(0.7),595,294,301,-4792,-2366,-2427
MD(0) v RR(0.9),593,301,291,-5469,-2892,-2578
MD(0) v RR(1),556,286,269,-5578,-2775,-2803
MD(0.1) v RR(0),623,318,305,-4878,-2363,-2515
MD(0.1) v RR(0.1),634,319,314,-4680,-2545,-2136
MD(0.1) v RR(0.3),700,362,337,-4561,-2228,-2333
MD(0.1) v RR(0.5),713,354,359,-4394,-2197,-2197
MD(0.1) v RR(0.7),615,327,288,-5946,-2702,-3244
MD(0.1) v RR(0.9),774,400,374,-3873,-2034,-1840
MD(0.1) v RR(1),578,291,286,-5170,-2222,-2949
MD(0.3) v RR(0),814,434,380,-5359,-2654,-2706
MD(0.3) v RR(0.1),774,400,374,-3873,-2034,-1840
MD(0.3) v RR(0.1),900,492,407,-5389,-2732,-2657
MD(0.3) v RR(0.5),844,439,405,-3920,-1960,-1960
MD(0.3) v RR(0.7),876,454,421,-4830,-2476,-2355
MD(0.3) v RR(0.9),986,482,504,-4815,-2251,-2565
MD(0.3) v RR(1),882,453,429,-4160,-1832,-2328
MD(0.5) v RR(0),3997,1998,1998,-6894,-4144,-2750
MD(0.5) v RR(0.1),3585,1792,1792,-7529,-4378,-3152
MD(0.5) v RR(0.3),4240,2120,2120,-7063,-3233,-3831
MD(0.5) v RR(0.5),6064,3032,3032,-7726,-3863,-3863
MD(0.5) v RR(0.7),5746,2873,2873,-7093,-3673,-3421
MD(0.5) v RR(0.9),6583,3291,3291,-7352,-4605,-2748
MD(0.5) v RR(1),5320,2660,2660,-6295,-3978,-2318
MD(0.7) v RR(0),6176,3073,3102,-8390,-5308,-3082
MD(0.7) v RR(0.1),7523,3787,3735,-8102,-3948,-4154
MD(0.7) v RR(0.3),6964,3498,3466,-8575,-4795,-3781
MD(0.7) v RR(0.5),7285,3573,3712,-7320,-3660,-3660
MD(0.7) v RR(0.7),8330,4105,4224,-8507,-4350,-4158
MD(0.7) v RR(0.9),9992,5023,4968,-8857,-4656,-4202
MD(0.7) v RR(1),7986,3656,4330,-8614,-4625,-3990
MD(0.9) v RR(0),7257,3317,3939,-8880,-5005,-3875
MD(0.9) v RR(0),8135,4010,4125,-9278,-4758,-4520
MD(0.9) v RR(0.3),7052,3698,3353,-9050,-4788,-4262
MD(0.9) v RR(0.5),6656,3376,3280,-9072,-4536,-4536
MD(0.9) v RR(0.7),8306,4501,3805,-9314,-4954,-4360
MD(0.9) v RR(0.9),7310,3755,3554,-8644,-3931,-4714
MD(0.9) v RR(1),7333,3152,4180,-9290,-5403,-3887
MD(1) v RR(0),6537,3513,3024,-8216,-3914,-4302
MD(1) v RR(0.1),7507,3207,4300,-9270,-4072,-5198
MD(1) v RR(0.3),7334,3118,4216,-9042,-4770,-4273
MD(1) v RR(0.5),7766,3438,4327,-8381,-4191,-4191
MD(1) v RR(0.7),8693,4442,4251,-8658,-4896,-3762
MD(1) v RR(0.9),9587,4751,4835,-9532,-4723,-4810
MD(1) v RR(1),8598,4568,4030,-9036,-5883,-3153
DD(0) v MM(0),800,417,383,-1293,-704,-589
DD(0) v MM(0.1),881,442,438,-1032,-508,-524
DD(0) v MM(0.3),792,419,373,-611,-305,-306
DD(0) v MM(0.5),326,169,156,-249,-125,-125
DD(0) v MM(0.7),196,101,95,-170,-85,-85
DD(0) v MM(0.9),197,88,108,-162,-82,-80
DD(0) v MM(1),200,106,94,-174,-88,-86
DD(0.1) v MM(0),825,416,408,-1608,-834,-774
DD(0.1) v MM(0.1),849,429,419,-1053,-536,-517
DD(0.1) v MM(0.3),777,368,408,-583,-290,-294
DD(0.1) v MM(0.5),338,159,179,-257,-129,-129
DD(0.1) v MM(0.7),214,110,103,-189,-94,-95
DD(0.1) v MM(0.9),209,110,98,-170,-82,-89
DD(0.1) v MM(1),195,95,99,-168,-82,-87
DD(0.3) v MM(0),1214,631,583,-1957,-715,-1243
DD(0.3) v MM(0.1),1155,570,584,-1252,-612,-640
DD(0.3) v MM(0.3),1094,524,569,-872,-423,-450
DD(0.3) v MM(0.5),485,232,253,-377,-189,-189
DD(0.3) v MM(0.7),272,134,137,-205,-106,-100
DD(0.3) v MM(0.9),236,119,117,-215,-103,-112
DD(0.3) v MM(1),234,116,117,-217,-112,-106
DD(0.5) v MM(0),6095,3047,3047,-4517,-2823,-1695
DD(0.5) v MM(0.1),5359,2679,2679,-3584,-861,-2724
DD(0.5) v MM(0.3),3808,1904,1904,-2359,-1101,-1259
DD(0.5) v MM(0.5),1187,593,593,-854,-427,-427
DD(0.5) v MM(0.7),864,432,432,-612,-279,-333
DD(0.5) v MM(0.9),718,359,359,-547,-258,-289
DD(0.5) v MM(1),756,378,378,-616,-256,-360
DD(0.7) v MM(0),6042,3047,2994,-3996,-3210,-787
DD(0.7) v MM(0.1),8963,4701,4262,-5464,-3046,-2418
DD(0.7) v MM(0.3),4531,2170,2361,-2721,-1307,-1414
DD(0.7) v MM(0.5),1464,767,696,-992,-496,-496
DD(0.7) v MM(0.7),1160,572,588,-772,-389,-384
DD(0.7) v MM(0.9),852,416,436,-605,-280,-326
DD(0.7) v MM(1),923,462,461,-677,-320,-357
DD(0.9) v MM(0),7948,3726,4221,-5897,-3841,-2057
DD(0.9) v MM(0.1),7830,3614,4215,-5035,-3250,-1786
DD(0.9) v MM(0.3),3640,1566,2073,-2377,-1080,-1297
DD(0.9) v MM(0.5),1872,1016,855,-1209,-605,-605
DD(0.9) v MM(0.7),1130,554,576,-759,-358,-402
DD(0.9) v MM(0.9),947,456,491,-658,-410,-248
DD(0.9) v MM(1),961,483,477,-699,-299,-401
DD(1) v MM(0),7474,4106,3367,-5526,-1518,-4008
DD(1) v MM(0.1),7836,3903,3932,-5236,-2018,-3218
DD(1) v MM(0.3),7364,3713,3651,-4179,-1947,-2232
DD(1) v MM(0.5),1710,807,903,-1077,-539,-539
DD(1) v MM(0.7),1033,513,520,-716,-361,-356
